Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
         rgb_bitdist|   9|    100000|     100|0.17206080|  PASSED
# The file file_input_raw was rewound 16 times
         rgb_bitdist|  10|    100000|     100|0.29884534|  PASSED
# The file file_input_raw was rewound 17 times
         rgb_bitdist|  11|    100000|     100|0.10080201|  PASSED
# The file file_input_raw was rewound 18 times
         rgb_bitdist|  12|    100000|     100|0.73126564|  PASSED
# The file file_input_raw was rewound 18 times
rgb_minimum_distance|   2|     10000|    1000|0.23462307|  PASSED
# The file file_input_raw was rewound 18 times
rgb_minimum_distance|   3|     10000|    1000|0.51021023|  PASSED
# The file file_input_raw was rewound 18 times
rgb_minimum_distance|   4|     10000|    1000|0.15970018|  PASSED
# The file file_input_raw was rewound 18 times
rgb_minimum_distance|   5|     10000|    1000|0.27713892|  PASSED
# The file file_input_raw was rewound 18 times
    rgb_permutations|   2|    100000|     100|0.91069440|  PASSED
# The file file_input_raw was rewound 18 times
    rgb_permutations|   3|    100000|     100|0.23852422|  PASSED
# The file file_input_raw was rewound 18 times
    rgb_permutations|   4|    100000|     100|0.36427942|  PASSED
# The file file_input_raw was rewound 19 times
    rgb_permutations|   5|    100000|     100|0.72773082|  PASSED
# The file file_input_raw was rewound 19 times
      rgb_lagged_sum|   0|   1000000|     100|0.36343968|  PASSED
# The file file_input_raw was rewound 20 times
      rgb_lagged_sum|   1|   1000000|     100|0.90328774|  PASSED
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|   2|   1000000|     100|0.74540180|  PASSED
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   3|   1000000|     100|0.83332218|  PASSED
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   4|   1000000|     100|0.81417758|  PASSED
# The file file_input_raw was rewound 26 times
      rgb_lagged_sum|   5|   1000000|     100|0.41067122|  PASSED
# The file file_input_raw was rewound 29 times
      rgb_lagged_sum|   6|   1000000|     100|0.16756144|  PASSED
# The file file_input_raw was rewound 32 times
      rgb_lagged_sum|   7|   1000000|     100|0.15237911|  PASSED
# The file file_input_raw was rewound 35 times
      rgb_lagged_sum|   8|   1000000|     100|0.82864299|  PASSED
# The file file_input_raw was rewound 39 times
      rgb_lagged_sum|   9|   1000000|     100|0.31860265|  PASSED
# The file file_input_raw was rewound 43 times
      rgb_lagged_sum|  10|   1000000|     100|0.66233635|  PASSED
# The file file_input_raw was rewound 48 times
      rgb_lagged_sum|  11|   1000000|     100|0.62666113|  PASSED
